PM2.5,NO2,PM10,NO,NOx,O3,tavg,AQI
245.97,35.11,274.06,36.55,58.72,42.32,22.3,340
277.53,60.17,379.38,60.39,94.74,84.99,22.9,415
232.4,68.4,361,67.14,115.98,136.67,23.4,420
244.78,82.74,385.66,51.06,112.71,99.91,23.9,407
293.49,87.47,401.49,105.88,137.62,114.43,23.8,454
161.78,63.78,234.94,44.61,97.34,75.71,22.2,388
153.33,58.13,260.04,35.14,86.38,69.95,22.9,276
353.86,86.59,496.61,42.74,117.97,107.69,21.9,483
217.55,75.98,356.92,32.59,98.5,103.4,21.9,451
201.44,79.2,364.2,88.69,134.41,108.12,22,378
249.95,84.89,452.96,88.06,150.79,115.45,22.7,439
219.68,55.72,408.52,24.64,71.78,89.58,21.8,431
258.48,54.69,398.16,30.46,81.68,75.26,21.9,421
291.66,61.66,469.38,27.58,84.27,101.14,22.3,454
221.68,60.05,377.4,19.84,69.37,90.08,22.4,450
214.24,83.62,342.13,49.66,95.98,101.15,22.6,367
184.02,85.03,323.56,81.18,129.22,94.79,21.9,383
136.22,57.11,280.47,44.56,77.4,71.44,20,347
188.09,74.39,367.46,74.07,118.88,86.88,18.6,369
238.69,96.62,397.16,106.26,150.98,101.68,18.5,392
271.42,101.44,470.08,139.98,164.44,124.74,18.6,455
293.73,97.76,467.32,102.06,144.12,114.3,18.8,450
247.27,92.32,450.96,101.94,146.25,116.29,18.7,478
266.95,105.29,419.98,123.99,164.08,132.26,17.1,431
241.61,88.74,424.09,115.23,165.41,113.35,18.5,440
149.14,54.63,312.85,33.11,83.28,81.11,19.3,376
182.5,69.29,317.46,91.98,144.14,93.71,20,347
193.58,71.35,343.26,60.96,121.32,90.46,18.3,343
172.89,47.21,294.29,32.3,73.76,70.51,19.1,362
190.46,51.84,342.59,64.72,99.82,67.97,18.2,319
282.76,78.48,419.33,116.54,159.5,131.34,19.7,425
183.28,83.03,371.83,56.71,118.88,93.52,19.3,400
170.74,95.99,399.64,61.75,132.93,88,18,386
190.14,92.91,412.29,43.24,109.61,86.19,17.6,385
186.64,79.52,352.14,64.77,113.72,88.93,17.7,392
282.01,121.11,433.03,154.15,196.54,129.79,17.4,428
218.22,113.45,439.01,129.37,178.2,122.22,17.2,394
249.8,103.77,421.49,73.33,136.43,103.29,17.8,440
283.59,140.09,478.19,147.22,204.44,139.79,20.2,437
250.69,93.99,411.48,82.24,134.24,131.99,19.2,431
211.95,78.05,386.66,51.4,114.36,123.11,20.1,383
198.38,64.21,410.6,57.61,116.75,119.41,18.3,377
184.12,55.01,385.05,47.72,94.66,122.43,13.7,379
135.42,63.9,338.3,71.54,118.56,101.58,14.8,333
118.6,59.09,380.24,56.5,102.21,79.22,14.6,314
88.3,40.52,140.688,43.65,63.37,25.23,15.2,174
111.45,34.44,134.384,75.23,90.72,38.16,15.3,244
152.24,23.07,182.232,54.06,71.32,29.89,13.6,308
136.75,25.24,212.202,49.33,62.42,20.82,14.4,320
114.35,26.84,172.348,47.8,56.46,33.06,14.4,270
181.67,111.18,185.726,100.08,139.46,20.58,12.6,320
135.78,78.99,251.624,62.51,89.78,20.57,13.7,313
204.72,136.15,391.9,136.41,180.15,57.16,13.6,326
321.52,102.69,589.93,110.63,165.11,111.69,13.6,459
129.08,55.01,486.66,20.45,53.4,32.42,13.1,314
132.56,71.91,294.13,37.27,91.68,75.29,13.3,304
158.69,88.96,331.93,52.6,109.95,88.64,14.4,310
187.01,90.57,375.13,34.43,99.66,98.88,16.3,370
148.77,75.69,332.68,23.26,71.74,85.96,18.3,328
159.67,73.11,325.05,33.33,82.43,82.69,17.8,331
233.97,87.4,391.19,68.54,133.08,94.75,17.4,412
240.97,72.93,389.18,85.66,131.21,87.26,16.9,433
295.71,94.04,476.09,86.62,131.36,108.14,16.9,463
239.21,81.22,395.29,69.42,126.63,90.45,15.5,465
270.1,76.67,484.82,54.41,101.63,97.03,14.9,426
339.8,133.95,586.2,124.31,164.05,91.2,16.5,496
318.1,118.81,535.3,106.93,159.99,131.4,18.6,528
305.51,103.78,524.01,99,150.4,135.04,18.7,538
391.54,96.36,587.23,167.73,213.61,186.07,18.3,535
339.87,67.85,540.86,109,170.76,150.8,16.5,603
158.43,60.63,324.64,47.9,103.82,100.54,16.6,408
183.24,68.86,345.68,85.1,119.51,130.02,17.6,368
227.13,76.4,411.6,130.64,179.86,140.72,17.4,404
195.21,78.61,381.19,98,141.55,131.63,18,444
248.59,73.18,399.59,25.76,95.74,95.93,18.3,356
196.87,55.91,339.06,22.82,76.14,97.98,15.6,397
178.8,45.85,259.53,24.84,67.9,81.66,13.1,371
138.86,41.92,220.21,16.26,56.84,67.4,13.6,311
179.48,58.56,268.5,24.14,75.29,78.01,14.1,321
269.05,78.22,451.43,75.17,129.46,107.94,13.3,424
278.2,61.04,430.74,25.48,81.75,104.61,12.4,435
272.1,56.67,415.38,25.73,73.35,100.12,12,455
196.83,52.83,318.08,29.85,74.47,91.52,12.1,398
290.66,73.9,418.92,58.36,118.66,136.52,11.8,399
294.3,78.21,480,58.3,130.91,147.56,14.4,469
303.5,64.55,446.28,18.81,84.23,132.54,11.1,488
217.05,66.89,362.08,27.18,84.08,103.53,11.7,401
308.75,80.14,462.91,33.24,104.98,139.27,14.6,446
255.94,87.93,424.11,68.34,136.31,142.54,17.7,456
283.03,90.45,463.03,96.44,154.28,151.6,16.8,451
311.08,117.07,498.38,140.59,139.36,175.04,19.6,501
285.83,111.19,450.72,114.59,202.98,157.74,20.2,505
242.05,46.17,291.16,22.08,61.75,75.74,17.4,437
121.4,60.12,193.5,20.04,73.48,90.99,15.9,305
135.31,63.6,242.87,26.56,86.07,94.8,15.3,292
136.87,61.81,273.78,18.78,80.6,95.15,12.7,306
130.76,67.45,269.21,63.15,115.18,85.13,16.4,300
206.72,86.15,383.25,103.55,180.54,121.22,12.7,371
224.94,85.86,348.14,139.49,143.3,149.67,15.3,408
170.45,72.61,249.91,24.15,90.15,95.23,15.6,343
119.57,57,186.86,46.36,102.85,74.61,17.1,301
181.76,65.45,261.7,53.77,101.07,106.92,17.7,322
216.55,81.98,341.38,99.27,159.3,129.76,18.1,368
150,70.99,270.49,61.14,101.48,93.1,19.7,349
146.03,79.43,296.27,41.52,102.77,117.2,19.2,334
110.89,56.05,228.81,15.7,60.22,101.47,17.2,333
103.57,61.73,177.49,21.11,71.42,89.22,17.7,257
115.7,66.8,219.52,26.8,88.44,93.47,17.5,265
123.22,65.75,216.09,27.2,91.8,95.46,18.2,297
135.38,80.76,236.15,30.25,107.45,89.38,18.7,289
148.75,76.11,217.16,41.39,115.01,90.48,19.4,310
